id,category_name,category_url
0,art & design,https://play.google.com/store/apps/category/ART_AND_DESIGN
1,augmented reality,https://play.google.com/store/apps/stream/baselist_featured_arcore
2,auto & vehicles,https://play.google.com/store/apps/category/AUTO_AND_VEHICLES
3,beauty,https://play.google.com/store/apps/category/BEAUTY
4,books & reference,https://play.google.com/store/apps/category/BOOKS_AND_REFERENCE
5,business,https://play.google.com/store/apps/category/BUSINESS
6,comics,https://play.google.com/store/apps/category/COMICS
7,communication,https://play.google.com/store/apps/category/COMMUNICATION
8,dating,https://play.google.com/store/apps/category/DATING
9,daydream,https://play.google.com/store/apps/stream/vr_top_device_featured_category
10,education,https://play.google.com/store/apps/category/EDUCATION
11,entertainment,https://play.google.com/store/apps/category/ENTERTAINMENT
12,events,https://play.google.com/store/apps/category/EVENTS
13,finance,https://play.google.com/store/apps/category/FINANCE
14,food & drink,https://play.google.com/store/apps/category/FOOD_AND_DRINK
15,health & fitness,https://play.google.com/store/apps/category/HEALTH_AND_FITNESS
16,house & home,https://play.google.com/store/apps/category/HOUSE_AND_HOME
17,libraries & demo,https://play.google.com/store/apps/category/LIBRARIES_AND_DEMO
18,lifestyle,https://play.google.com/store/apps/category/LIFESTYLE
19,maps & navigation,https://play.google.com/store/apps/category/MAPS_AND_NAVIGATION
20,medical,https://play.google.com/store/apps/category/MEDICAL
21,music & audio,https://play.google.com/store/apps/category/MUSIC_AND_AUDIO
22,news & magazines,https://play.google.com/store/apps/category/NEWS_AND_MAGAZINES
23,parenting,https://play.google.com/store/apps/category/PARENTING
24,personalization,https://play.google.com/store/apps/category/PERSONALIZATION
25,photography,https://play.google.com/store/apps/category/PHOTOGRAPHY
26,productivity,https://play.google.com/store/apps/category/PRODUCTIVITY
27,shopping,https://play.google.com/store/apps/category/SHOPPING
28,social,https://play.google.com/store/apps/category/SOCIAL
29,sports,https://play.google.com/store/apps/category/SPORTS
30,tools,https://play.google.com/store/apps/category/TOOLS
31,travel & local,https://play.google.com/store/apps/category/TRAVEL_AND_LOCAL
32,video players & editors,https://play.google.com/store/apps/category/VIDEO_PLAYERS
33,wear os by google,https://play.google.com/store/apps/category/ANDROID_WEAR
34,weather,https://play.google.com/store/apps/category/WEATHER
